date       time    	Air_Temp	Barometric_Press	Dew_Point	Relative_Humidity	Wind_Dir	Wind_Gust	Wind_Speed
2012_01_01 08:10:25	32.70	30.60	26.30	76.80	217.80	15.00	11.40
2012_01_01 08:16:41	32.70	30.60	26.20	76.60	148.80	15.00	12.20
2012_01_01 08:22:56	32.60	30.60	26.10	76.60	216.80	15.00	10.80
2012_01_01 08:29:12	32.60	30.60	26.10	76.80	76.80	15.00	10.60
2012_01_01 08:35:28	32.60	30.60	26.10	76.60	218.20	13.00	10.40
2012_01_01 08:41:43	32.60	30.70	26.30	77.20	286.00	13.00	10.20
2012_01_01 08:47:59	32.90	30.60	26.50	77.00	146.80	18.00	13.20
2012_01_01 08:54:16	32.90	30.70	26.70	77.60	215.20	18.00	14.60
2012_01_01 09:00:31	32.80	30.70	26.10	76.20	219.00	18.00	12.20
2012_01_01 09:06:47	33.00	30.70	26.40	76.40	286.20	19.00	13.60
2012_01_01 09:14:03	33.10	30.70	26.50	76.60	149.00	19.00	14.20
2012_01_01 09:20:19	33.10	30.70	26.90	77.60	 8.60	19.00	14.80
2012_01_01 09:26:35	33.00	30.70	26.20	75.60	218.60	19.00	13.20
2012_01_01 09:32:51	32.90	30.70	25.90	75.20	148.60	19.00	13.00
2012_01_01 09:39:08	32.80	30.70	26.00	75.60	359.00	15.00	11.80
2012_01_01 09:45:29	33.00	30.70	26.20	75.80	212.80	15.00	10.20
2012_01_01 09:51:45	33.20	30.70	26.20	75.40	353.20	15.00	 9.00
2012_01_01 09:58:01	33.20	30.70	26.30	75.60	286.00	15.00	 8.60
2012_01_01 10:04:19	33.40	30.70	26.70	76.00	356.00	20.00	14.60
2012_01_01 10:10:35	33.40	30.70	26.50	75.60	350.80	20.00	12.20
2012_01_01 10:16:51	33.20	30.70	26.50	76.00	287.80	20.00	11.40
2012_01_01 10:23:07	33.30	30.70	25.80	73.80	147.60	20.00	11.40
2012_01_01 10:29:23	33.30	30.70	25.90	74.00	284.00	20.00	10.80
2012_01_01 10:35:39	33.30	30.70	25.70	73.40	143.40	12.00	 8.80
2012_01_01 10:41:54	33.50	30.70	26.20	74.40	81.40	13.00	10.00
2012_01_01 10:48:11	33.50	30.70	26.20	74.20	358.00	14.00	10.80
2012_01_01 10:54:27	33.50	30.70	26.20	74.20	284.20	14.00	11.40
2012_01_01 11:00:42	33.50	30.70	26.30	74.60	284.80	14.00	11.60
2012_01_01 11:06:58	33.60	30.70	26.40	74.80	289.80	15.00	11.80
2012_01_01 11:13:14	33.70	30.70	26.30	74.00	283.40	15.00	10.60
2012_01_01 11:19:30	33.60	30.70	26.50	75.00	148.00	16.00	11.40
2012_01_01 11:25:46	33.60	30.70	26.20	74.00	354.40	16.00	11.80
2012_01_01 11:32:02	33.70	30.70	26.60	75.00	355.20	16.00	12.20
2012_01_01 11:38:18	33.70	30.70	26.30	74.00	345.00	16.00	10.20
2012_01_01 11:44:34	33.90	30.70	26.50	74.00	284.00	16.00	12.00
2012_01_01 11:50:50	33.80	30.70	26.30	73.80	283.20	16.00	10.40
2012_01_01 11:58:05	33.90	30.70	26.20	73.00	147.80	17.00	11.60
2012_01_01 12:04:22	34.00	30.70	26.30	73.00	214.60	17.00	12.00
2012_01_01 12:10:38	34.00	30.70	26.20	72.80	354.60	14.00	11.20
2012_01_01 12:16:54	34.00	30.60	26.40	73.20	285.40	14.00	10.00
2012_01_01 12:23:10	34.30	30.60	26.80	73.60	281.40	14.00	10.40
2012_01_01 12:29:26	34.30	30.60	26.40	72.40	348.20	14.00	10.40
2012_01_01 12:35:42	34.40	30.70	26.30	72.00	354.20	13.00	10.80
2012_01_01 12:41:57	34.40	30.70	26.10	71.40	282.80	13.00	 9.60
2012_01_01 12:48:14	34.60	30.70	26.40	71.60	351.80	13.00	 9.40
2012_01_01 12:54:29	34.60	30.70	26.00	70.60	287.00	13.00	 9.20
2012_01_01 13:00:45	34.60	30.60	26.50	72.20	218.20	13.00	 7.80
2012_01_01 13:07:01	34.70	30.60	26.90	73.00	75.00	10.00	 7.60
2012_01_01 13:13:17	34.80	30.60	26.70	72.00	286.60	11.00	 8.20
