date       time    	Air_Temp	Barometric_Press	Dew_Point	Relative_Humidity	Wind_Dir	Wind_Gust	Wind_Speed
2012_01_02 11:07:47	33.00	30.30	27.60	80.20	330.20	 8.00	 5.60
2012_01_02 11:14:02	33.00	30.30	27.50	80.00	331.00	 8.00	 4.80
2012_01_02 11:20:19	33.10	30.30	27.60	80.00	336.00	 8.00	 5.40
2012_01_02 11:26:35	33.20	30.30	27.50	79.40	331.00	 8.00	 6.00
2012_01_02 11:32:51	33.10	30.30	27.50	79.60	311.80	 8.00	 5.60
2012_01_02 11:39:06	33.20	30.30	27.50	79.40	306.80	 9.00	 5.60
2012_01_02 11:45:23	33.30	30.30	27.80	80.00	316.20	 9.00	 5.80
2012_01_02 11:51:38	33.40	30.30	28.10	80.40	328.00	 9.00	 5.00
2012_01_02 11:58:02	33.50	30.20	28.00	80.00	328.00	 9.00	 4.60
2012_01_02 12:04:23	33.50	30.20	28.10	80.20	328.80	 9.00	 4.60
2012_01_02 12:10:39	33.40	30.20	27.70	79.20	329.00	 6.00	 5.00
2012_01_02 12:16:55	33.50	30.20	28.00	80.00	329.00	 7.00	 4.00
2012_01_02 12:23:11	33.70	30.20	28.20	80.00	328.40	 7.00	 4.80
2012_01_02 12:29:27	33.80	30.20	28.30	79.80	309.00	 8.00	 6.00
2012_01_02 12:35:43	34.10	30.20	28.20	78.80	297.00	10.00	 6.80
2012_01_02 12:41:59	34.20	30.20	27.90	77.40	301.80	11.00	 7.40
2012_01_02 12:48:15	34.30	30.20	28.10	77.60	295.20	12.00	 6.60
2012_01_02 12:54:30	34.30	30.20	27.90	77.00	308.00	12.00	 4.80
2012_01_02 13:00:47	34.40	30.20	27.70	76.20	308.20	12.00	 3.20
2012_01_02 13:07:02	34.40	30.20	28.00	77.20	327.00	 7.00	 4.60
2012_01_02 13:13:18	34.40	30.20	28.10	77.60	317.80	 8.00	 7.00
2012_01_02 13:19:34	34.40	30.20	28.20	77.60	285.00	 8.00	 4.80
2012_01_02 13:25:50	34.40	30.20	28.00	77.20	285.00	 8.00	 4.40
2012_01_02 13:32:06	34.40	30.20	28.00	77.20	285.00	 9.00	 6.20
2012_01_02 13:38:22	34.50	30.20	28.20	77.60	285.00	 9.00	 6.20
2012_01_02 13:44:38	34.70	30.20	28.30	77.00	285.00	 9.00	 6.20
2012_01_02 13:50:54	34.80	30.20	28.20	76.40	284.00	 9.00	 6.20
2012_01_02 13:57:10	34.90	30.20	28.10	76.00	298.00	 9.00	 4.40
2012_01_02 14:03:26	35.00	30.20	28.10	75.80	311.00	 9.00	 4.60
2012_01_02 14:09:41	35.00	30.20	28.00	75.20	313.40	 8.00	 4.00
2012_01_02 14:15:58	35.10	30.20	28.70	77.20	314.60	 8.00	 4.40
2012_01_02 14:22:14	35.10	30.20	28.40	76.20	319.00	 8.00	 4.60
2012_01_02 14:28:29	35.10	30.20	28.60	77.00	326.80	 8.00	 4.80
2012_01_02 14:34:45	35.00	30.20	28.70	77.80	328.80	 8.00	 6.00
2012_01_02 14:41:02	35.00	30.10	28.60	77.40	328.60	 8.00	 6.00
2012_01_02 14:47:18	35.00	30.10	28.90	78.20	326.20	 9.00	 6.80
2012_01_02 14:53:34	35.10	30.10	29.40	79.40	330.40	 9.00	 6.40
2012_01_02 14:59:50	35.30	30.10	29.40	79.00	329.00	10.00	 7.00
2012_01_02 15:06:05	35.20	30.10	29.30	78.80	304.80	 9.00	 7.20
2012_01_02 15:12:21	35.50	30.10	29.90	79.80	326.20	 9.00	 4.40
2012_01_02 15:18:37	35.50	30.10	29.10	77.40	333.00	 9.00	 0.40
2012_01_02 15:24:53	35.50	30.10	29.00	77.00	333.00	 9.00	 0.80
2012_01_02 15:31:09	35.50	30.10	29.20	77.40	333.00	 9.00	 4.60
2012_01_02 15:37:25	35.60	30.10	29.20	77.20	333.00	 5.00	 3.20
2012_01_02 15:43:43	35.70	30.10	29.00	76.40	333.00	 5.00	 1.00
2012_01_02 15:50:17	35.80	30.10	29.10	76.40	333.00	 5.00	 2.00
2012_01_02 15:56:34	35.80	30.10	29.10	76.20	333.00	 5.00	 3.20
2012_01_02 16:02:50	35.90	30.10	29.10	76.00	333.00	 5.00	 0.40
2012_01_02 16:09:06	35.90	30.10	29.20	76.40	333.00	 2.00	 0.20
2012_01_02 16:15:22	35.90	30.10	29.00	75.60	333.00	 2.00	 0.40
2012_01_02 16:21:38	36.00	30.20	29.00	75.40	333.00	 3.00	 0.60
2012_01_02 16:27:54	36.10	30.20	28.80	74.40	333.00	 3.00	 0.40
2012_01_02 16:34:10	36.30	30.20	29.90	77.60	105.00	 6.00	 5.00
2012_01_02 16:40:26	36.20	30.20	30.10	78.20	107.00	 6.00	 3.40
2012_01_02 16:46:42	36.20	30.20	30.20	78.60	107.00	 6.00	 4.60
2012_01_02 16:52:58	36.20	30.20	30.20	78.60	107.00	 7.00	 5.60
2012_01_02 16:59:14	36.10	30.20	30.00	78.40	125.80	 7.00	 6.00
2012_01_02 17:10:15	36.20	30.20	30.20	78.60	133.80	 8.00	 6.20
2012_01_02 17:16:31	36.30	30.20	30.50	79.20	130.20	 8.00	 7.20
2012_01_02 17:22:47	36.30	30.20	30.70	80.00	135.20	 9.00	 8.20
2012_01_02 17:29:02	36.30	30.20	30.70	80.00	142.00	11.00	 9.20
2012_01_02 17:35:18	36.20	30.20	30.60	80.00	146.60	12.00	 9.60
2012_01_02 17:41:34	36.20	30.20	30.80	80.60	139.60	12.00	10.20
2012_01_02 17:47:50	36.30	30.20	31.20	81.60	141.40	12.00	 8.80
2012_01_02 17:54:06	36.30	30.20	30.90	80.80	153.00	12.00	 8.40
2012_01_02 18:00:22	36.30	30.20	31.10	81.20	165.00	12.00	 6.60
2012_01_02 18:06:38	36.10	30.20	30.10	78.40	172.00	 8.00	 4.00
2012_01_02 18:12:54	36.20	30.20	30.80	80.80	254.60	10.00	 7.20
2012_01_02 18:19:10	36.40	30.20	31.00	80.60	272.80	10.00	 7.00
2012_01_02 18:25:26	36.60	30.20	30.80	79.40	272.00	10.00	 6.00
2012_01_02 18:31:42	36.50	30.20	30.80	79.60	28.40	10.00	 3.80
2012_01_02 18:37:58	36.40	30.20	30.90	80.20	41.00	 6.00	 2.00
2012_01_02 18:44:15	36.30	30.20	30.80	80.20	42.00	 6.00	 1.60
2012_01_02 18:50:31	36.30	30.20	30.70	80.20	65.80	 8.00	 4.60
2012_01_02 18:56:47	36.40	30.20	31.40	82.20	86.80	 8.00	 5.20
2012_01_02 19:03:03	36.20	30.20	31.00	81.40	86.00	 8.00	 3.40
2012_01_02 19:09:20	36.10	30.20	30.50	80.00	86.00	 4.00	 0.80
2012_01_02 19:15:35	36.10	30.20	30.80	81.00	86.00	 4.00	 0.00
2012_01_02 19:21:51	36.10	30.20	30.80	80.80	86.00	 4.00	 0.00
2012_01_02 19:28:08	36.20	30.20	30.80	80.80	86.00	 4.00	 0.20
2012_01_02 19:34:24	36.20	30.20	30.80	80.60	86.00	 4.00	 0.40
2012_01_02 19:40:41	36.30	30.20	30.60	79.80	86.00	 2.00	 0.00
2012_01_02 19:47:12	36.40	30.20	30.80	79.80	86.00	 3.00	 0.80
2012_01_02 19:53:30	36.50	30.20	30.90	80.00	86.20	 3.00	 1.20
2012_01_02 19:59:46	36.50	30.20	31.10	80.60	86.00	 4.00	 2.40
2012_01_02 20:06:02	36.60	30.20	31.50	81.80	86.00	 5.00	 3.60
2012_01_02 20:12:18	36.70	30.20	31.60	81.60	86.00	 5.00	 1.80
2012_01_02 20:18:34	36.60	30.20	31.60	82.00	86.00	 5.00	 1.00
2012_01_02 20:24:51	36.50	30.20	31.50	82.00	86.00	 5.00	 1.20
2012_01_02 20:31:07	36.50	30.20	31.50	82.00	86.00	 5.00	 2.80
2012_01_02 20:37:23	36.70	30.20	31.60	81.60	85.80	 5.00	 2.40
2012_01_02 20:43:39	36.70	30.20	31.30	80.40	85.00	 6.00	 3.00
2012_01_02 20:49:55	36.80	30.20	31.50	81.00	51.00	 8.00	 1.40
2012_01_02 20:56:12	36.80	30.20	31.10	79.60	51.40	 8.00	 1.80
2012_01_02 21:02:28	36.90	30.20	31.40	80.40	88.00	 8.00	 2.20
2012_01_02 21:08:44	36.90	30.20	31.60	81.00	88.00	 4.00	 1.20
2012_01_02 21:15:00	36.90	30.20	31.90	82.00	88.00	 4.00	 1.20
2012_01_02 21:21:18	36.90	30.20	31.80	81.80	88.00	 4.00	 0.40
2012_01_02 21:27:34	36.90	30.20	31.90	82.00	88.00	 4.00	 0.00
2012_01_02 21:33:50	37.00	30.20	32.10	82.40	88.00	 4.00	 1.20
2012_01_02 21:40:06	37.00	30.20	32.00	82.00	88.00	 4.00	 1.00
2012_01_02 21:46:23	37.00	30.20	31.80	81.40	87.60	 5.00	 2.60
2012_01_02 21:52:41	37.20	30.20	31.90	81.00	348.00	 7.00	 3.40
2012_01_02 21:58:57	37.30	30.20	32.20	81.60	348.00	 7.00	 1.00
2012_01_02 22:05:14	37.30	30.20	32.30	82.00	324.80	 7.00	 3.00
2012_01_02 22:11:31	37.40	30.20	32.50	82.20	311.00	 7.00	 1.40
2012_01_02 22:17:47	37.40	30.20	32.50	82.20	311.00	 7.00	 0.80
2012_01_02 22:24:03	37.50	30.20	32.80	83.00	147.60	 7.00	 3.00
2012_01_02 22:30:20	37.60	30.20	32.80	82.80	155.40	 7.00	 4.40
2012_01_02 22:36:36	37.60	30.20	32.70	82.20	168.40	 8.00	 2.80
2012_01_02 22:42:53	37.60	30.20	32.70	82.20	177.40	 8.00	 3.00
2012_01_02 22:49:09	37.60	30.20	32.50	81.60	176.00	 8.00	 1.00
2012_01_02 22:55:25	37.60	30.20	32.40	81.40	176.00	 8.00	 2.00
2012_01_02 23:01:41	37.60	30.20	32.70	82.20	101.20	 8.00	 2.40
2012_01_02 23:07:57	37.70	30.20	33.00	83.00	35.40	 8.00	 4.20
2012_01_02 23:14:14	38.60	30.20	33.60	82.20	66.20	13.00	 6.20
2012_01_02 23:20:30	41.90	30.20	34.90	76.20	147.80	28.00	13.40
2012_01_02 23:26:47	43.20	30.20	34.80	72.00	125.80	38.00	20.80
2012_01_02 23:33:03	44.60	30.30	35.10	69.00	151.20	69.00	20.60
2012_01_02 23:39:21	44.90	30.30	34.50	66.80	172.40	45.00	25.40
2012_01_02 23:45:43	45.60	30.30	34.70	65.40	195.80	46.00	32.20
2012_01_02 23:51:59	46.00	30.30	34.60	64.40	185.00	50.00	29.00
2012_01_02 23:58:15	46.00	30.30	35.00	65.40	187.40	50.00	26.40
2012_01_03 00:04:32	45.70	30.30	35.00	66.00	186.80	50.00	24.80
2012_01_03 00:10:47	45.50	30.30	35.40	67.40	179.80	46.00	31.80
2012_01_03 00:17:04	45.50	30.30	35.50	67.60	177.40	46.00	30.40
2012_01_03 00:23:20	45.50	30.30	35.50	67.80	166.00	46.00	22.60
2012_01_03 00:29:35	45.40	30.30	35.10	67.00	152.80	46.00	25.20
2012_01_03 00:35:51	45.40	30.30	35.00	66.80	171.60	39.00	20.00
2012_01_03 00:42:06	45.10	30.30	34.90	67.20	171.00	43.00	24.20
2012_01_03 00:48:22	44.90	30.30	34.60	67.00	168.60	43.00	30.00
2012_01_03 00:54:37	44.70	30.30	34.40	66.80	201.60	43.00	24.20
2012_01_03 01:00:52	44.70	30.30	34.30	66.60	167.00	43.00	22.20
2012_01_03 01:07:08	44.60	30.30	34.20	66.80	184.80	48.00	18.80
2012_01_03 01:13:23	44.60	30.30	34.40	67.40	187.00	48.00	16.40
2012_01_03 01:19:39	44.50	30.30	34.30	67.20	200.20	61.00	23.60
2012_01_03 01:25:54	44.40	30.30	34.20	67.40	189.20	61.00	11.40
2012_01_03 01:32:09	44.50	30.30	34.40	67.60	171.20	61.00	16.80
2012_01_03 01:38:25	44.30	30.30	34.50	68.20	175.00	42.00	15.80
2012_01_03 01:44:41	44.40	30.30	34.60	68.20	150.00	42.00	14.80
2012_01_03 01:50:56	44.30	30.30	34.60	68.60	173.00	43.00	20.80
2012_01_03 01:57:12	44.10	30.30	35.10	70.40	173.60	43.00	20.80
2012_01_03 02:03:28	44.00	30.30	35.00	70.40	170.60	45.00	24.20
2012_01_03 02:09:43	43.90	30.30	34.90	70.60	178.00	45.00	20.00
2012_01_03 02:15:58	43.80	30.30	34.90	70.80	169.80	45.00	22.80
2012_01_03 02:22:14	43.80	30.30	34.80	70.40	195.60	45.00	18.80
2012_01_03 02:28:29	44.00	30.30	35.10	70.80	193.00	45.00	18.60
2012_01_03 02:34:44	44.00	30.30	35.20	70.80	176.40	45.00	16.00
2012_01_03 02:41:00	44.00	30.30	35.20	70.80	196.80	32.00	16.80
2012_01_03 02:47:15	43.80	30.30	35.20	71.40	186.00	32.00	16.00
2012_01_03 02:53:30	43.80	30.30	35.20	71.40	192.00	32.00	15.40
2012_01_03 02:59:46	43.90	30.30	35.20	71.20	187.80	32.00	16.00
2012_01_03 03:06:01	43.80	30.30	35.40	71.80	176.20	25.00	18.00
2012_01_03 03:12:17	44.00	30.40	35.30	71.20	182.00	27.00	18.00
2012_01_03 03:18:32	44.00	30.40	35.40	71.60	171.20	27.00	16.80
2012_01_03 03:24:47	43.30	30.40	35.90	74.80	164.60	27.00	16.80
2012_01_03 03:31:02	43.50	30.40	35.30	72.80	196.40	27.00	20.20
2012_01_03 03:37:24	43.90	30.40	35.20	71.20	196.00	23.00	16.00
2012_01_03 03:43:56	44.00	30.40	35.50	72.00	187.20	23.00	16.00
2012_01_03 03:50:13	43.70	30.40	35.50	72.60	195.00	23.00	17.40
2012_01_03 03:56:29	43.60	30.40	35.30	72.40	192.20	24.00	18.00
2012_01_03 04:10:14	43.60	30.40	34.70	70.60	198.40	35.00	17.80
2012_01_03 04:16:29	43.50	30.40	35.00	71.80	170.80	35.00	19.80
2012_01_03 04:22:44	43.40	30.40	34.70	71.20	182.20	35.00	14.00
2012_01_03 04:28:59	43.40	30.40	34.60	71.00	193.00	35.00	18.00
2012_01_03 04:35:15	43.30	30.40	34.50	70.80	187.00	31.00	13.80
2012_01_03 04:41:30	43.30	30.40	34.70	71.40	191.60	31.00	16.00
2012_01_03 04:47:45	43.20	30.40	34.50	71.20	193.20	35.00	16.60
2012_01_03 04:54:00	43.20	30.40	34.60	71.60	170.60	35.00	17.00
2012_01_03 05:00:16	43.20	30.40	34.40	70.80	192.80	35.00	15.20
2012_01_03 05:06:31	43.30	30.40	34.70	71.60	186.20	22.00	15.20
2012_01_03 05:12:47	43.20	30.40	34.40	71.00	196.60	30.00	13.60
2012_01_03 05:19:02	43.30	30.40	34.50	71.00	205.40	30.00	17.00
2012_01_03 05:25:18	43.20	30.40	34.30	70.40	190.00	30.00	11.20
2012_01_03 05:31:34	43.30	30.40	34.40	70.80	219.40	30.00	14.40
2012_01_03 05:37:49	43.30	30.40	34.40	70.60	166.80	24.00	10.80
2012_01_03 05:44:05	42.20	30.40	34.70	74.40	196.40	24.00	 9.00
2012_01_03 05:50:21	42.90	30.40	34.90	73.20	138.20	24.00	 5.80
2012_01_03 05:56:37	42.20	30.40	35.30	76.40	135.60	24.00	10.40
2012_01_03 06:02:52	41.00	30.40	35.90	82.00	121.00	24.00	10.40
2012_01_03 06:09:08	40.30	30.40	35.60	83.00	123.80	13.00	10.20
2012_01_03 06:15:24	40.10	30.40	35.70	83.80	125.40	13.00	 8.00
2012_01_03 06:21:39	40.00	30.40	35.80	84.40	154.60	13.00	 9.80
2012_01_03 06:27:53	40.20	30.40	35.70	83.60	159.00	13.00	 8.20
2012_01_03 06:34:07	40.10	30.40	35.40	83.20	140.80	13.00	 9.20
2012_01_03 06:40:20	39.80	30.40	35.50	84.20	146.20	12.00	 8.00
2012_01_03 06:46:34	39.80	30.40	35.50	84.40	174.80	12.00	 7.20
2012_01_03 06:52:47	39.80	30.40	35.70	85.00	183.80	12.00	 7.80
2012_01_03 06:59:15	39.80	30.40	35.20	83.40	148.40	17.00	13.40
2012_01_03 07:05:34	39.60	30.40	35.20	84.00	160.40	14.00	10.40
2012_01_03 07:11:48	39.50	30.40	35.40	85.00	165.40	14.00	10.40
2012_01_03 07:18:01	39.50	30.40	35.20	84.40	154.40	14.00	 8.60
2012_01_03 07:24:15	39.60	30.40	35.30	84.40	159.00	14.00	 8.80
2012_01_03 07:30:29	39.60	30.40	35.50	85.00	159.00	14.00	 7.20
2012_01_03 07:36:43	39.40	30.40	35.50	85.80	159.00	 9.00	 6.40
2012_01_03 07:42:56	39.20	30.40	35.40	86.00	159.00	 9.00	 5.00
2012_01_03 07:49:11	39.00	30.40	35.20	86.00	159.00	 9.00	 4.00
2012_01_03 07:55:24	38.90	30.40	35.00	85.80	159.00	 9.00	 0.60
2012_01_03 08:01:38	38.70	30.40	34.60	84.80	159.00	 9.00	 0.00
2012_01_03 08:07:52	38.60	30.40	34.50	85.00	159.00	 7.00	 1.20
2012_01_03 08:14:06	39.00	30.40	35.50	86.80	127.60	12.00	 7.80
2012_01_03 08:20:20	39.50	30.40	35.50	85.60	128.00	12.00	 6.00
2012_01_03 08:26:33	39.70	30.40	35.80	85.40	129.60	12.00	 7.40
2012_01_03 08:32:47	39.20	30.40	35.10	85.20	132.00	12.00	 7.00
2012_01_03 08:39:01	39.10	30.40	35.00	85.00	132.00	11.00	 0.00
2012_01_03 08:45:15	39.50	30.40	35.20	84.20	132.00	11.00	 1.20
2012_01_03 08:51:28	39.50	30.40	35.10	84.00	132.00	11.00	 1.40
2012_01_03 08:57:42	39.50	30.40	35.20	84.40	132.00	11.00	 2.80
2012_01_03 09:03:55	39.60	30.40	35.30	84.60	132.00	11.00	 1.60
2012_01_03 09:10:09	39.70	30.50	35.50	84.60	132.00	 5.00	 1.00
2012_01_03 09:16:23	40.10	30.50	36.00	84.80	132.00	 5.00	 0.80
2012_01_03 09:22:37	40.60	30.50	36.10	83.60	132.00	 5.00	 0.00
2012_01_03 09:28:50	40.70	30.50	36.00	83.20	130.40	 8.00	 4.20
2012_01_03 09:35:04	40.40	30.50	36.10	84.20	115.20	 9.00	 6.40
2012_01_03 09:41:18	40.00	30.50	35.80	84.60	105.00	 9.00	 7.00
2012_01_03 09:47:32	40.10	30.50	36.30	85.80	105.00	 9.00	 3.40
2012_01_03 09:53:45	40.30	30.50	35.90	83.80	105.00	 9.00	 2.20
2012_01_03 09:59:59	40.10	30.50	35.70	84.00	104.20	 9.00	 3.80
2012_01_03 10:12:28	40.20	30.50	35.80	84.00	101.00	 6.00	 4.40
2012_01_03 10:18:42	39.80	30.50	35.80	85.40	101.00	 6.00	 4.20
2012_01_03 10:24:56	39.90	30.50	36.20	86.40	101.00	 6.00	 0.20
2012_01_03 10:31:10	40.00	30.50	36.20	85.80	101.00	 6.00	 0.00
2012_01_03 10:43:38	40.10	30.40	36.20	85.60	101.00	 5.00	 1.80
2012_01_03 10:49:58	40.50	30.40	36.60	85.60	101.00	 5.00	 4.20
2012_01_03 10:56:18	40.70	30.40	35.90	82.80	101.00	 6.00	 4.20
2012_01_03 11:02:32	40.80	30.40	35.80	82.20	101.00	 6.00	 1.20
2012_01_03 11:08:46	41.20	30.40	36.10	82.00	101.00	 5.00	 2.40
2012_01_03 11:15:00	41.30	30.40	36.30	82.40	101.00	 7.00	 5.40
2012_01_03 11:21:15	41.10	30.40	36.20	82.60	101.00	 7.00	 4.00
2012_01_03 11:27:28	41.20	30.40	36.30	82.40	101.00	 7.00	 1.00
2012_01_03 11:33:42	41.30	30.40	36.20	82.00	101.00	 7.00	 0.80
2012_01_03 11:39:56	40.50	30.40	35.90	83.40	101.00	 5.00	 2.80
2012_01_03 11:46:10	40.00	30.40	36.00	85.60	101.00	 6.00	 4.80
2012_01_03 11:52:23	39.80	30.40	36.20	86.80	101.00	 6.00	 5.00
2012_01_03 11:58:36	39.80	30.40	36.30	87.00	101.00	 6.00	 3.40
2012_01_03 12:04:50	39.90	30.40	36.00	85.80	101.00	 6.00	 3.60
2012_01_03 12:11:06	39.90	30.40	36.20	86.20	101.00	 5.00	 0.40
2012_01_03 12:17:20	39.90	30.40	35.80	85.00	101.00	 5.00	 0.00
2012_01_03 12:23:34	40.00	30.40	35.90	85.20	101.00	 5.00	 0.20
2012_01_03 12:29:48	40.00	30.40	35.90	85.00	101.00	 5.00	 1.80
2012_01_03 12:36:01	39.90	30.40	35.80	85.00	101.00	 5.00	 3.60
2012_01_03 12:42:16	39.90	30.40	35.90	85.20	101.00	 5.00	 3.60
2012_01_03 12:48:30	39.90	30.40	35.90	85.20	101.00	 6.00	 4.60
2012_01_03 12:54:43	39.90	30.40	36.10	86.00	101.00	 6.00	 4.40
2012_01_03 13:00:58	39.80	30.40	36.00	86.00	101.00	 6.00	 4.40
2012_01_03 13:07:12	39.80	30.40	36.00	86.00	101.00	 5.00	 3.60
2012_01_03 13:13:26	39.80	30.40	36.00	86.00	101.00	 5.00	 1.60
2012_01_03 13:19:39	39.80	30.40	36.00	86.00	101.00	 5.00	 0.20
2012_01_03 13:25:53	39.80	30.40	36.00	86.00	101.00	 5.00	 4.00
2012_01_03 13:32:07	39.80	30.40	36.00	86.00	101.00	 5.00	 0.00
2012_01_03 13:38:21	39.80	30.40	36.00	86.00	101.00	 4.00	 1.60
2012_01_03 13:44:35	39.90	30.40	36.40	87.00	101.00	 4.00	 2.00
2012_01_03 13:50:48	39.80	30.40	36.30	86.80	101.00	 4.00	 1.80
2012_01_03 13:57:02	39.90	30.40	36.30	86.60	101.00	 4.00	 0.40
2012_01_03 14:03:17	39.90	30.40	36.30	86.80	101.00	 4.00	 2.00
2012_01_03 14:09:31	39.90	30.40	36.40	87.00	101.00	 4.00	 2.60
2012_01_03 14:15:44	39.90	30.40	36.40	87.00	101.00	 6.00	 3.60
2012_01_03 14:21:58	39.90	30.40	36.40	87.00	101.00	 6.00	 5.40
2012_01_03 14:28:12	39.90	30.40	36.40	87.00	101.00	 6.00	 4.80
2012_01_03 14:34:27	39.90	30.40	36.40	87.00	101.00	 6.00	 4.60
2012_01_03 14:40:49	40.00	30.40	36.20	86.20	101.00	 6.00	 5.00
2012_01_03 14:47:11	40.00	30.40	36.40	86.40	101.00	 6.00	 5.40
2012_01_03 14:53:25	40.10	30.40	36.50	87.00	101.00	 6.00	 4.00
2012_01_03 14:59:40	40.20	30.40	36.50	86.60	101.00	 6.00	 2.80
2012_01_03 15:24:41	40.10	30.40	36.40	86.20	101.00	 4.00	 2.40
2012_01_03 15:30:56	40.20	30.40	36.40	86.20	101.00	 4.00	 1.40
2012_01_03 15:37:10	40.20	30.40	36.40	86.00	101.00	 5.00	 1.20
2012_01_03 15:43:25	40.30	30.40	36.50	86.00	101.00	 5.00	 3.80
2012_01_03 15:49:39	40.50	30.40	36.60	85.80	101.00	 5.00	 4.20
2012_01_03 15:55:54	40.40	30.40	36.40	85.40	101.00	 5.00	 0.20
2012_01_03 16:02:09	40.40	30.40	36.60	86.00	101.00	 5.00	 0.00
2012_01_03 16:14:38	40.40	30.40	36.80	87.00	101.00	 5.00	 1.20
2012_01_03 16:20:52	40.40	30.40	37.10	88.00	101.00	 5.00	 0.20
2012_01_03 16:27:08	40.30	30.40	37.30	89.00	101.00	 5.00	 0.00
2012_01_03 16:33:24	40.20	30.40	37.20	89.00	101.00	 5.00	 0.00
2012_01_03 16:58:25	40.00	30.40	37.10	89.60	101.00	 4.00	 0.80
2012_01_03 17:16:31	39.80	30.40	37.40	91.00	101.00	 1.00	 0.20
2012_01_03 17:22:47	39.70	30.40	37.50	91.80	101.00	 2.00	 0.20
2012_01_03 17:29:03	39.50	30.40	37.40	92.00	101.00	 2.00	 0.20
2012_01_03 17:35:21	39.40	30.40	37.30	92.00	101.00	 2.00	 0.40
2012_01_03 17:41:37	39.40	30.40	37.30	92.20	101.00	 2.00	 1.40
2012_01_03 17:47:53	39.40	30.40	37.30	92.00	101.00	 2.00	 0.40
2012_01_03 17:54:22	39.40	30.40	37.30	92.00	101.00	 5.00	 3.80
2012_01_03 18:03:14	39.40	30.40	37.30	92.00	101.00	 5.00	 4.20
2012_01_03 18:11:19	39.60	30.40	37.50	92.00	101.00	 5.00	 0.60
2012_01_03 18:17:35	39.50	30.40	37.60	93.00	101.00	 5.00	 0.20
2012_01_03 18:23:51	39.40	30.40	37.50	93.00	101.00	 5.00	 0.60
2012_01_03 18:30:08	39.20	30.40	37.40	93.00	101.00	 5.00	 0.00
2012_01_03 18:36:28	39.00	30.40	37.10	92.60	101.00	 1.00	 0.20
2012_01_03 18:42:45	39.00	30.40	37.20	93.00	101.00	 2.00	 1.40
2012_01_03 18:49:23	39.10	30.40	37.30	93.00	101.00	 2.00	 0.00
2012_01_03 18:55:41	39.10	30.40	37.20	92.80	101.00	 2.00	 0.00
2012_01_03 19:01:58	39.10	30.40	37.00	92.00	101.00	 2.00	 0.00
2012_01_03 19:27:07	39.20	30.40	37.00	91.80	101.00	 4.00	 1.80
2012_01_03 19:33:23	39.10	30.40	37.00	92.00	101.00	 5.00	 2.60
2012_01_03 19:39:39	38.90	30.40	36.80	92.00	101.00	 6.00	 4.20
2012_01_03 19:45:56	38.80	30.40	36.70	92.00	101.00	 6.00	 0.20
2012_01_03 19:52:13	38.70	30.40	36.60	92.00	101.00	 6.00	 0.00
2012_01_03 19:58:30	38.70	30.40	36.60	92.00	101.00	 6.00	 0.00
2012_01_03 20:04:47	38.70	30.40	36.60	92.00	101.00	 6.00	 0.00
2012_01_03 20:11:03	38.80	30.40	37.00	93.00	101.00	 2.00	 1.00
2012_01_03 20:17:20	39.10	30.40	37.10	92.60	101.00	 4.00	 2.20
2012_01_03 20:23:37	39.20	30.40	37.40	93.00	101.00	 4.00	 2.00
2012_01_03 20:29:53	39.30	30.40	37.40	93.00	101.00	 4.00	 0.00
2012_01_03 20:36:12	39.30	30.40	37.40	93.00	101.00	 5.00	 3.00
2012_01_03 20:42:28	39.40	30.40	37.50	93.00	101.00	 5.00	 1.40
2012_01_03 20:48:44	39.40	30.40	37.50	93.00	101.00	 5.00	 0.00
2012_01_03 20:55:01	39.40	30.40	37.50	93.00	101.00	 9.00	 4.20
2012_01_03 21:01:18	39.60	30.40	37.50	91.80	142.40	14.00	10.20
2012_01_03 21:07:34	39.90	30.40	37.20	89.80	137.80	14.00	12.40
2012_01_03 21:13:51	40.30	30.40	37.00	88.00	137.20	17.00	14.00
2012_01_03 21:20:08	40.60	30.40	36.80	86.60	132.60	17.00	13.60
2012_01_03 21:26:25	40.90	30.40	36.80	85.60	134.00	17.00	11.00
2012_01_03 21:32:41	40.60	30.40	37.10	87.40	121.40	17.00	 5.60
2012_01_03 21:38:57	40.10	30.40	36.80	88.00	121.00	 7.00	 3.20
2012_01_03 21:45:14	39.80	30.40	36.80	89.00	121.00	 7.00	 0.40
2012_01_03 21:51:31	39.90	30.40	37.20	89.80	95.60	11.00	 6.80
2012_01_03 21:57:48	39.60	30.40	36.40	88.20	82.00	12.00	 1.60
2012_01_03 22:04:06	39.30	30.40	36.60	89.80	82.00	12.00	 3.80
2012_01_03 22:10:22	39.20	30.40	36.50	90.00	90.60	 9.00	 6.00
2012_01_03 22:16:39	39.20	30.40	36.50	90.00	118.40	12.00	11.40
2012_01_03 22:22:56	39.30	30.40	36.70	90.20	116.80	12.00	 7.00
2012_01_03 22:29:13	39.80	30.40	37.00	89.80	141.20	12.00	 5.00
2012_01_03 22:35:31	39.80	30.40	37.10	90.00	246.60	 7.00	 5.80
2012_01_03 22:41:47	39.90	30.40	37.10	89.80	248.00	 7.00	 4.20
2012_01_03 22:48:06	40.00	30.40	37.20	89.60	250.20	 7.00	 5.40
2012_01_03 22:54:44	40.00	30.40	37.10	89.40	259.20	 7.00	 5.20
2012_01_03 23:01:00	39.80	30.40	37.10	90.00	309.00	 7.00	 4.20
